ID	Designator	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	匹配结果	商品名称	参数	目录	商品编号	商品链接	渠道	交期	MOQ	MPQ	库存	购买数量	单价(RMB)	关税	小计(RMB)	备注	型号	品牌	封装
21	C4,C5	2	TAJD106K035RNJ	Kyocera AVX	LCSC	C7221	系统匹配	10uF ±10% 35V	容值:10uF 精度:±10% 额定电压:35V 等效串联电阻(ESR):1Ω@100kHz	电容	C7221	https://item.szlcsc.com/7694.html	现货	4小时内发货	1	500	41909	6	2.1655	0	12.99	nan	TAJD106K035RNJ	Kyocera AVX	CASE-D-7343-31(mm)
22	CN3,CN4,CN5,CN11	4	B2B-XH-A(LF)(SN)	JST	LCSC	C158012	系统匹配	1x2P 间距:2.5mm 直插 系列:XH	插针结构:1x2P 间距:2.5mm 安装方式:直插 参考系列:XH 总PIN数:2P 排数:1 每排PIN数:2 额定电流:3A 触头材质:黄铜 触头镀层:锡 工作温度:-25℃~+85℃	连接器	C158012	https://item.szlcsc.com/169360.html	现货	4小时内发货	20	1000	408060	20	0.2252	0	4.5	nan	B2B-XH-A(LF)(SN)	JST	插件,P=2.5mm
23	D5,D6,D9	3	SS14	onsemi(安森美)	LCSC	C83852	系统匹配	电压:40V 电流:1A	正向压降(Vf):500mV@1A 直流反向耐压(Vr):40V 整流电流:1A	二极管	C83852	https://item.szlcsc.com/85019.html	现货	4小时内发货	5	7500	96285	10	0.7449	0	7.45	nan	SS14	onsemi(安森美)	SMA(DO-214AC)
24	H2,H3,H4,H5,H9	5	PZ254V-11-02P	XFCN(兴飞)	LCSC	C492401	系统匹配	1x2P 间距:2.54mm 方针 直插	插针结构:1x2P 间距:2.54mm 圆针/方针:方针 安装方式:直插 排数:单排 总PIN位数:2P 配合针长度:6mm 塑高:2.5mm 端接针长度:3mm 触头材质:黄铜 工作温度:-40℃~+105℃ 颜色:黑色	连接器	C492401	https://item.szlcsc.com/502957.html	现货	4小时内发货	50	2000	994600	50	0.08132	0	4.07	nan	PZ254V-11-02P	XFCN(兴飞)	插件,P=2.54mm
25	L2	1	YPO5022-103M	YJYCOIN(益嘉源)	LCSC	C19632966	系统匹配	10mH ±20% 350mA	电感值:10mH 精度:±20% 饱和电流(Isat):350mA 类型:非屏蔽电感	电感/线圈/变压器	C19632966	https://item.szlcsc.com/20934310.html	现货	4小时内发货	1	500	3935	3	3.7525	0	11.26	nan	YPO5022-103M	YJYCOIN(益嘉源)	SMD,18.8x15.5mm
26	Q1,Q2	2	BSS138	R+O(宏嘉诚)	LCSC	C7420339	系统匹配	1个N沟道 耐压:50V 电流:340mA	数量:1个N沟道 漏源电压(Vdss):50V 连续漏极电流(Id):340mA 导通电阻(RDS(on)):1.1Ω@10V;1.2Ω@4.5V 耗散功率(Pd):350mW 阈值电压(Vgs(th)):1.2V@250uA	三极管/MOS管/晶体管	C7420339	https://item.szlcsc.com/8397161.html	现货	4小时内发货	50	3000	106850	50	0.108	0	5.4	nan	BSS138	R+O(宏嘉诚)	SOT-23
27	U4,U5,Inductor1,U15,U16,U17	6	KF301-5.0-2P	KEFA(科发)	LCSC	C474881	系统匹配	5mm 1x2P 排数:1 每排P数:2 直插	结构:1x2P 间距:5mm 颜色:蓝色 安装方式:直插 排数:1 每排PIN数:2 额定电流:17A 额定电压:250V 线规 - AWG:14~22 线规 - 平方毫米:1.5 工作温度:-30℃~+120℃	连接器	C474881	https://item.szlcsc.com/481499.html	现货	4小时内发货	5	1000	69700	20	0.5591	0	11.18	nan	KF301-5.0-2P	KEFA(科发)	插件,P=5mm
28	R1,R2	2	RE1206F1R000	JIERR(捷而瑞)	LCSC	C46961765	系统匹配	0mΩ 1W 1206 ±1%	电阻类型:采样电阻;合金电阻 阻值:0Ω 精度:±1% 功率:1W 安装方式:贴片	电阻	C46961765	https://item.szlcsc.com/49133304.html	现货	4小时内发货	10	5000	58310	10	0.297825	0	2.98	nan	RE1206F1R000	JIERR(捷而瑞)	1206
29	U10	1	MAX40203AUK+T	ADI(亚德诺)/MAXIM(美信)	LCSC	C2653639	系统匹配	超微型纳米功率、1A理想二极管,超低电压降	nan	电源管理	C2653639	https://item.szlcsc.com/2745548.html	现货	4小时内发货	1	2500	4332	3	4.95	0	14.85	nan	MAX40203AUK+T	ADI(亚德诺)/MAXIM(美信)	SOT-23-5
30	Q3	1	CSD18511Q5A	TI(德州仪器)	LCSC	C701747	系统匹配	1个N沟道 耐压:40V 电流:100A	数量:1个N沟道 漏源电压(Vdss):40V 连续漏极电流(Id):159A 导通电阻(RDS(on)):1.9mΩ@10V 耗散功率(Pd):104W 阈值电压(Vgs(th)):1.8V	三极管/MOS管/晶体管	C701747	https://item.szlcsc.com/736823.html	现货	4小时内发货	1	2500	514	3	6.46	0	19.38	nan	CSD18511Q5A	TI(德州仪器)	SON-8(5x6)
31	C6	1	CL21B103KBANNNC	SAMSUNG(三星)	LCSC	C1710	系统匹配	10nF ±10% 50V	容值:10nF 精度:±10% 额定电压:50V 温度系数:X7R	电容	C1710	https://item.szlcsc.com/2062.html	现货	4小时内发货	50	4000	1884300	50	0.0383	0	1.92	nan	CL21B103KBANNNC	SAMSUNG(三星)	0805
32	Q4	1	ZVNL110ASTZ	DIODES(美台)	LCSC	C526786	系统匹配	1个N沟道 耐压:100V 电流:320mA	数量:1个N沟道 漏源电压(Vdss):100V 连续漏极电流(Id):320mA 导通电阻(RDS(on)):4.5Ω@5V,250mA 耗散功率(Pd):700mW 阈值电压(Vgs(th)):1.5V	三极管/MOS管/晶体管	C526786	https://item.szlcsc.com/545001.html	现货	4小时内发货	1	2000	100	3	3.31	0	9.93	nan	ZVNL110ASTZ	DIODES(美台)	TO-92-3
33	R3	1	FRC0805J105 TS	FOJAN(富捷)	LCSC	C2907302	系统匹配	1MΩ ±5% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:1MΩ 精度:±5% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C2907302	https://item.szlcsc.com/3180815.html	现货	4小时内发货	100	5000	280000	100	0.007568	0	0.76	nan	FRC0805J105 TS	FOJAN(富捷)	0805
34	U11	1	BAT54	R+O(宏嘉诚)	LCSC	C22466368	系统匹配	电压:30V 电流:0.2A	二极管配置:独立式 正向压降(Vf):1V@100mA 直流反向耐压(Vr):30V 整流电流:200mA	二极管	C22466368	https://item.szlcsc.com/24165527.html	现货	4小时内发货	50	3000	58950	50	0.076	0	3.8	nan	BAT54	R+O(宏嘉诚)	SOT-23
35	C7,C9,C11,C13	4	FCC0805B104K500DT	FOJAN(富捷)	LCSC	C5137467	系统匹配	100nF ±10% 50V	容值:100nF 精度:±10% 额定电压:50V 温度系数:X7R	电容	C5137467	https://item.szlcsc.com/5746969.html	现货	4小时内发货	100	4000	5811600	100	0.0215	0	2.15	nan	FCC0805B104K500DT	FOJAN(富捷)	0805
36	R4	1	FRC0805J104 TS	FOJAN(富捷)	LCSC	C2907293	系统匹配	100kΩ ±5% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:100kΩ 精度:±5% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C2907293	https://item.szlcsc.com/3180806.html	现货	4小时内发货	100	5000	650100	100	0.007656	0	0.77	nan	FRC0805J104 TS	FOJAN(富捷)	0805
37	R5	1	3362P-1-103	JIERR(捷而瑞)	LCSC	C48997914	系统匹配	3362P-1-103	阻值:10kΩ 精度:±10% 功率:500mW 温度系数:±250ppm/℃	电阻	C48997914	https://item.szlcsc.com/51342050.html	现货	4小时内发货	5	50	11375	5	1.00358	0	5.02	nan	3362P-1-103	JIERR(捷而瑞)	插件-3P,7x6.8mm
38	U12	1	LTC6906CS6#TRPBF	ADI(亚德诺)	LCSC	C689635	系统匹配	具微功率和 10kHz 至 1MHz 电阻器设定频率范围的 SOT-23 封装振荡器	nan	振荡器/谐振器	C689635	https://item.szlcsc.com/720353.html	现货	4小时内发货	1	2500	31	3	35.22	0	105.66	nan	LTC6906CS6#TRPBF	ADI(亚德诺)	TSOT-23-6
39	U14,U19	2	SN74LVC2G14DBVR	TI(德州仪器)	LCSC	C12401	系统匹配	双路施密特触发反相器	输入类型:施密特触发器 工作电压:1.65V~5.5V 静态电流(Iq):10uA 通道数:2 传播延迟(tpd):4.7ns@5V,50pF	逻辑器件	C12401	https://item.szlcsc.com/13032.html	现货	4小时内发货	5	3000	43750	10	0.4437	0	4.44	nan	SN74LVC2G14DBVR	TI(德州仪器)	SOT-23-6
40	C8	1	CL21B105KBFNNNE	SAMSUNG(三星)	LCSC	nan	系统匹配	1uF ±10% 50V	容值:1uF 精度:±10% 额定电压:50V 温度系数:X7R	电容	C28323	https://item.szlcsc.com/29074.html	现货	4小时内发货	20	2000	4435600	20	0.0593	0	1.19	nan	CL21B105KBFNNNE	SAMSUNG(三星)	0805
41	R6	1	0805W8F1002T5E	UNI-ROYAL(厚声)	LCSC	nan	系统匹配	10kΩ ±1% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:10kΩ 精度:±1% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C17414	https://item.szlcsc.com/18102.html	现货	4小时内发货	100	5000	8021600	100	0.0115	0	1.15	nan	0805W8F1002T5E	UNI-ROYAL(厚声)	0805
42	R7	1	0805W8F1002T5E	UNI-ROYAL(厚声)	LCSC	nan	系统匹配	10kΩ ±1% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:10kΩ 精度:±1% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C17414	https://item.szlcsc.com/18102.html	现货	4小时内发货	100	5000	8021600	100	0.0115	0	1.15	nan	0805W8F1002T5E	UNI-ROYAL(厚声)	0805
43	R8	1	3306P-1-103	BOURNS	LCSC	C840697	系统匹配	10kΩ ±25%	阻值:10kΩ 精度:±25% 功率:200mW 温度系数:±250ppm/℃	电阻	C840697	https://item.szlcsc.com/897149.html	现货	4小时内发货	1	200	1812	3	3.21	0	9.63	nan	3306P-1-103	BOURNS	插件-3P,8.1x6.8mm
44	R10	1	3306P-1-503	BOURNS	LCSC	C6807075	系统匹配	50kΩ ±25%	阻值:50kΩ 精度:±25% 功率:200mW 温度系数:±250ppm/℃	电阻	C6807075	https://item.szlcsc.com/7767863.html	现货	4小时内发货	1	200	570	3	4.07	0	12.21	nan	3306P-1-503	BOURNS	插件
45	R12	1	0805W8F1002T5E	UNI-ROYAL(厚声)	LCSC	nan	系统匹配	10kΩ ±1% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:10kΩ 精度:±1% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C17414	https://item.szlcsc.com/18102.html	现货	4小时内发货	100	5000	8021600	100	0.0115	0	1.15	nan	0805W8F1002T5E	UNI-ROYAL(厚声)	0805
46	R14	1	0805W8F1002T5E	UNI-ROYAL(厚声)	LCSC	C17414	系统匹配	10kΩ ±1% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:10kΩ 精度:±1% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C17414	https://item.szlcsc.com/18102.html	现货	4小时内发货	100	5000	8021600	100	0.0115	0	1.15	nan	0805W8F1002T5E	UNI-ROYAL(厚声)	0805
47	R15	1	0805W8F1002T5E	UNI-ROYAL(厚声)	LCSC	nan	系统匹配	10kΩ ±1% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:10kΩ 精度:±1% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C17414	https://item.szlcsc.com/18102.html	现货	4小时内发货	100	5000	8021600	100	0.0115	0	1.15	nan	0805W8F1002T5E	UNI-ROYAL(厚声)	0805
48	U8	1	LM324DT	ST(意法半导体)	LCSC	C71035	系统匹配	低功耗四路运算放大器	放大器数:四路 增益带宽积(GBP):1.3MHz 输入失调电压(Vos):5mV 压摆率(SR):20V/us 输入偏置电流(Ib):300nA	运算放大器/比较器	C71035	https://item.szlcsc.com/72134.html	现货	4小时内发货	5	2500	35070	5	0.582	0	2.91	nan	LM324DT	ST(意法半导体)	SOIC-14
49	U21	1	REF3025AIDBZR	TI(德州仪器)	LCSC	C11334	系统匹配	REF3025AIDBZR	输出类型:固定 工作电压:2.55V~5.5V 输出电压:2.5V 输出电流:25mA 精度:±0.2%	电源管理	C11334	https://item.szlcsc.com/11887.html	现货	4小时内发货	5	3000	71760	5	1.5097	0	7.55	nan	REF3025AIDBZR	TI(德州仪器)	SOT-23
50	U22,U23	2	TMUX1119DCKR	TI(德州仪器)	LCSC	C2673327	系统匹配	5V、低泄漏电流、2:1精密开关	开关电路:2:1 通道数:1 导通电阻(Ron):1.8Ω	通信接口芯片	C2673327	https://item.szlcsc.com/2765243.html	现货	4小时内发货	1	3000	2989	6	8.4	0	50.4	nan	TMUX1119DCKR	TI(德州仪器)	SC-70-6
51	U25	1	MAX921ESA+T	ADI(亚德诺)/MAXIM(美信)	LCSC	C117533	系统匹配	超低功耗、单/双电源比较器	比较器数:单路 输入失调电压(Vos):10uV 输入偏置电流(Ib):40nA	运算放大器/比较器	C117533	https://item.szlcsc.com/118792.html	现货	4小时内发货	1	2500	7	3	20.6973	0	62.09	nan	MAX921ESA+T	ADI(亚德诺)/MAXIM(美信)	SOIC-8
52	C15	1	0805B471K500NT	FH(风华)	LCSC	C1743	系统匹配	470pF ±10% 50V	容值:470pF 精度:±10% 额定电压:50V 温度系数:X7R	电容	C1743	https://item.szlcsc.com/2095.html	现货	4小时内发货	100	4000	207600	100	0.0293	0	2.93	nan	0805B471K500NT	FH(风华)	0805
53	C16	1	CL21A106KAYNNNE	SAMSUNG(三星)	LCSC	C15850	系统匹配	10uF ±10% 25V	容值:10uF 精度:±10% 额定电压:25V 温度系数:X5R	电容	C15850	https://item.szlcsc.com/16532.html	现货	4小时内发货	20	2000	7798960	20	0.065	0	1.3	nan	CL21A106KAYNNNE	SAMSUNG(三星)	0805
54	R16	1	RC0805DR-07301KL	YAGEO(国巨)	LCSC	C472183	系统匹配	厚膜电阻 301kΩ ±0.5% 125mW	电阻类型:厚膜电阻 阻值:301kΩ 精度:±0.5% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C472183	https://item.szlcsc.com/478475.html	现货	4小时内发货	50	5000	2850	50	0.0764	0	3.82	nan	RC0805DR-07301KL	YAGEO(国巨)	0805
55	R17	1	FRC0805J225 TS	FOJAN(富捷)	LCSC	C2933539	系统匹配	2.2MΩ ±5% 125mW 厚膜电阻	电阻类型:厚膜电阻 阻值:2.2MΩ 精度:±5% 功率:125mW 工作电压:150V 温度系数:±100ppm/℃	电阻	C2933539	https://item.szlcsc.com/3279641.html	现货	4小时内发货	100	5000	68500	100	0.008455	0	0.85	nan	FRC0805J225 TS	FOJAN(富捷)	0805
56	U26	1	400BXW12MEFR10X16	Rubycon(红宝石)	LCSC	C2685885	系统匹配	12uF ±20% 400V	容值:12uF 精度:±20% 额定电压:400V	电容	C2685885	https://item.szlcsc.com/2786892.html	现货	4小时内发货	1	200	2940	3	3.41	0	10.23	nan	400BXW12MEFR10X16	Rubycon(红宝石)	插件,D10xL16mm
